"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"90.97917",462.777786552038,440.760608842511,484.794964261566,429.105419000012,496.450154104064
"90.98958",410.939184435949,376.974167328063,444.904201543835,358.994173360679,462.884195511219
"91.00000",410.767105622853,366.781184955003,454.753026290702,343.496445078511,478.037766167194
"91.01042",411.449606123188,358.425577082042,464.473635164333,330.356351641705,492.542860604671
"91.02083",394.53256897697,333.47408762598,455.591050327959,301.15168004817,487.913457905769
"91.03125",393.980797707468,325.925931091718,462.035664323218,289.899860876132,498.061734538804
"91.04167",394.440552415066,320.086810388019,468.794294442113,280.72631694701,508.154787883122
"91.05208",377.060346393695,296.919968261099,457.200724526291,254.496214703402,499.624478083988
"91.06250",347.828022713369,262.300006331747,433.356039094992,217.024209363966,478.631836062773
"91.07292",348.060224936661,257.468203313623,438.652246559699,209.511683901268,486.608765972054
"91.08333",349.080729095829,253.694892738413,444.466565453246,203.200681096105,494.960777095553
"91.09375",333.791376988968,233.842172019289,433.740581958648,180.932258955168,486.650495022768
"91.10417",315.572808502474,211.260038609931,419.885578395018,156.040193808099,475.105423196849
"91.11458",318.023947880079,209.523126367175,426.524769392983,152.08626095764,483.961634802517
"91.12500",316.896139301493,204.363098331979,429.429180271007,144.791704879232,489.000573723755
"91.13542",316.749810841272,200.324151774662,433.175469907881,138.692130774435,494.807490908108
"91.14583",316.42267200788,196.230413874959,436.6149301408,132.604475772476,500.240868243283
"91.15625",317.343187781017,193.498842534974,441.18753302706,127.939606296538,506.746769265496
"91.16667",364.800635758422,237.408862560259,492.192408956586,169.971731399048,559.629540117797
"91.17708",418.764444790592,287.921388136497,549.607501444687,218.65725787441,618.871631706775
"91.18750",442.540024327476,308.334410199971,576.745638454982,237.290249534987,647.789799119965
"91.19792",449.978864105871,312.492907903358,587.464820308384,239.712239038415,660.245489173326
"91.20833",455.136988999832,314.447154985284,595.82682301438,239.970455656125,670.303522343539
"91.21875",456.15062394909,312.328266109794,599.972981788386,236.193308835622,676.107939062558
"91.22917",457.20594392481,310.317851068372,604.094036781248,232.559991708247,681.851896141373
"91.23958",458.508525913191,308.617388662355,608.399663164028,229.269813627318,687.747238199065
"91.25000",458.331285907632,305.496099424909,611.166472390355,224.590038867523,692.072532947741
"91.26042",461.904083904972,306.180497294344,617.627670515599,223.745410070781,700.062757739163
"91.27083",466.272043903699,307.712665038944,624.831422768453,223.776400075354,708.767687732043
"91.28125",470.70881390309,309.36347673835,632.054151067829,223.952414536532,717.465213269648
"91.29167",474.581533902798,310.497534001834,638.665533803763,223.636711320884,725.526356484712
"91.30208",477.543043902659,310.765346886141,644.320740919177,222.478567087791,732.607520717526
"91.31250",477.440153902592,308.011580690346,646.868727114838,218.321511800279,736.558796004904
"91.32292",476.113623902561,304.075015970135,648.152231834987,213.00327815953,739.223969645591
"91.33333",499.462663902546,324.853031241831,674.07229656326,232.420275152985,766.505052652107
"91.34375",496.496493902538,319.353147946532,673.639839858545,225.579125058976,767.4138627461
"91.35417",499.629833902535,319.988507323523,679.271160481547,224.892133371352,774.367534433718
"91.36458",498.807173902533,316.702128904751,680.912218900316,220.301541203294,777.312806601773
"91.37500",497.120723902533,312.584850392201,681.656597412864,214.897459806101,779.343987998964
"91.38542",496.750963902533,309.81586872028,683.686059084786,210.858406900283,782.643520904783
"91.39583",496.856093902532,307.552182137946,686.160005667119,207.340744566224,786.371443238841
"91.40625",499.073843902533,307.430393171883,690.717294633182,205.980478482288,792.167209322777
"91.41667",493.116413902532,299.161642353783,687.071185451282,196.488188331524,789.74463947354
"91.42708",491.194913902532,294.956042612709,687.433785192356,191.073459225522,791.316368579543
"91.43750",493.064553902532,294.56786424832,691.561243556744,189.490064016632,796.639043788433
"91.44792",493.844433902532,293.115320413091,694.573547391974,186.855746388603,800.833121416462
"91.45833",498.838003902532,295.901023041888,701.774984763177,188.472674631422,809.203333173643
"91.46875",497.267733902532,292.146649175949,702.388818629115,183.562106019313,810.973361785752
"91.47917",498.607253902532,291.325077635525,705.88943016954,181.596521721988,815.617986083077
"91.48958",499.783603902532,290.362636001601,709.204571803464,179.501872188585,820.06533561648
"91.50000",507.240193902532,295.702057872313,718.778329932752,183.720532951726,830.759854853339
"91.51042",499.249523902533,285.615200364118,712.883847440948,172.524020805874,825.975026999192
"91.52083",505.138813902533,289.428671831529,720.848955973537,175.238620319981,835.039007485084
"91.53125",502.898803902533,285.132629782517,720.664978022549,169.854180649364,835.943427155701
"91.54167",502.232003902533,282.429028969422,722.034978835644,166.072362616008,838.391645189057
"91.55208",501.629163902533,279.80808963766,723.450238167406,162.38310603019,840.875221774876
"91.56250",502.941923902533,279.120945916557,726.762901888509,160.637277229478,845.246570575588
"91.57292",500.251013902533,274.447844338474,726.054183466592,154.914866813925,845.587160991141
"91.58333",501.419163902533,273.651052473932,729.187275331134,153.077897558672,849.760430246394
"91.59375",500.615183902533,270.898937671823,730.331430133243,149.29450248727,851.935865317796
"91.60417",500.490793902533,268.842795894986,732.13879191008,146.215753090843,854.765834714223
"91.61458",498.741803902533,265.178030642463,732.305577162603,141.536837679826,855.946770125239
"91.62500",502.737073902533,267.273111950693,738.201035854373,142.626019856417,862.848127948649
"91.63542",502.183013902533,264.834075466664,739.531952338403,139.189137097091,865.176890707976
"91.64583",502.553473902533,263.334411586816,741.77253621825,136.699489435663,868.407458369403
"91.65625",505.467473902533,264.392794656065,746.542153149001,136.775568238299,874.159379566767
"91.66667",504.738343902533,261.822222221892,747.654465583173,133.230195062747,876.246492742319
"91.67708",507.029863902533,262.286154338956,751.773573466109,132.726660594834,881.333067210232
"91.68750",506.433653902533,259.875902920097,752.991404884968,129.356113655908,883.511194149157
"91.69792",506.606603902533,258.248061130005,754.96514667506,126.77499027554,886.438217529525
"91.70833",507.744083902533,257.597712818182,757.890454986883,125.178222824306,890.309944980759
"91.71875",508.258333902533,256.336821988115,760.179845816951,122.977629201967,893.539038603099
"91.72917",509.656363902533,255.972132299891,763.340595505175,121.679812076775,897.63291572829
"91.73958",507.596453902533,252.161666603702,763.031241201364,116.942658172036,898.25024963303
"91.75000",509.125613902533,251.952186501925,766.299041303141,115.812797596371,902.438430208695
"91.76042",507.947303902533,249.046911937684,766.847695867382,111.993323214468,903.901284590598
"91.77083",512.564243902533,251.94833080794,773.180156997127,113.986600055359,911.141887749707
