,totgen,coal,oil,biomass,IPP,alphacoal,alphaoil,alphabiomass,alphaIPP,,,,,,,,,,
1,1673.704199,219.0345172,274.0040632,0.689408496,462.7777866,0.130868117,0.163711164,0.000411906,0.276499149,,,,,,,,,,
2,1602.504894,213.4544655,222.2015841,2.109326965,410.9391844,0.133200508,0.138658911,0.001316269,0.256435525,,,,,,,,,,
3,1588.357739,212.2128731,187.2247531,1.598738199,410.7671056,0.133605212,0.117873165,0.001006535,0.258611203,,,,,,,,,,
4,1569.914639,214.3474342,188.331725,1.422893443,411.4496061,0.136534452,0.119963035,0.000906351,0.262084062,,,,,,,,,,
5,1554.199483,216.9314607,188.6592484,1.360947012,394.532569,0.139577617,0.121386766,0.000875658,0.253849376,,,,,,,0.133200508,0.138658911,0.001316269,0.256435525
6,1533.854187,223.4656382,195.1356549,1.301821067,393.9807977,0.145688971,0.127219169,0.000848725,0.256856748,,,,,,,,,,
7,1515.452901,227.2731081,196.3287948,1.340487095,394.4405524,0.14997042,0.129551235,0.000884546,0.260278991,,,,,,,,,,
8,1500.362966,229.1336027,196.6847475,1.721505267,377.0603464,0.152718781,0.131091444,0.001147393,0.251312752,,,,,,,,,,
9,1487.795812,231.9365018,196.4597591,1.585447643,347.8280227,0.155892697,0.132047528,0.001065635,0.233787473,,,,,,,,,,
10,1480.071169,246.2723546,196.4793219,2.043123606,348.0602249,0.166392238,0.132749915,0.001380423,0.235164519,,,,,,,,,,
11,1469.767048,260.9608801,197.1977166,1.895965609,349.0807291,0.177552545,0.134169368,0.001289977,0.237507522,,,,,,,,,,
12,1451.720633,292.2464592,197.6031469,1.524994609,333.791377,0.201310399,0.136116511,0.001050474,0.229928107,,,,,,,,,,
13,1442.294694,304.4268697,197.2605097,1.166548609,315.5728085,0.211071199,0.136768519,0.000808814,0.218799119,,,,,,,,,,
14,1453.01697,311.2826441,190.4361508,0.547838609,318.0239479,0.21423194,0.131062579,0.000377035,0.218871462,,,,,,,,,,
15,1453.99949,313.4285251,191.1061523,0.843355609,316.8961393,0.215563023,0.131434814,0.000580025,0.217947903,,,,,,,,,,
16,1445.173258,315.4900037,187.3843667,0.775626609,316.7498108,0.218306007,0.129662216,0.000536701,0.219177741,,,,,,,,,,
17,1470.968572,318.6143595,190.7170604,1.210501609,316.422672,0.216601745,0.129654069,0.000822928,0.215111783,,,,,,,,,,
18,1519.801394,326.3581197,190.8798045,1.707854609,317.3431878,0.214737347,0.125595229,0.001123735,0.208805696,,,,,,,,,,
19,1588.993099,332.8582574,190.6523017,1.865363609,364.8006358,0.209477472,0.11998309,0.001173928,0.229579748,,,,,,,,,,
20,1665.482727,333.4386873,213.8961762,1.943667609,418.7644448,0.200205431,0.128428937,0.00116703,0.251437279,,,,,,,,,,
21,1740.026048,334.7904709,251.7463088,2.219383609,442.5400243,0.192405436,0.144679621,0.001275489,0.25432954,,,,,,,,,,
22,1891.271744,338.3400181,266.7812354,1.957018609,449.9788641,0.178895507,0.141059177,0.001034763,0.237923961,,,,,,,,,,
23,2011.543012,343.2245611,273.3993253,1.937817609,455.136989,0.170627503,0.135915227,0.000963349,0.226262618,,,,,,,,,,
24,2075.860042,338.2688989,289.8184247,1.911866609,456.1506239,0.162953615,0.139613663,0.000921,0.219740548,,,,,,,,,,
25,2084.191929,351.5583336,288.9293257,1.512693609,457.2059439,0.168678483,0.138628944,0.000725794,0.219368446,,,,,,,,,,
