"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"90.97917",274.004063173321,256.932967237487,291.075159109156,247.896074926555,300.112051420087
"90.98958",222.20158406829,196.504998904031,247.898169232549,182.902048410346,261.501119726234
"91.00000",187.224753113894,154.966688432798,219.482817794989,137.890300497433,236.559205730354
"91.01042",188.331724975321,150.905975335578,225.757474615063,131.093980228673,245.569469721968
"91.02083",188.65924835027,146.99994370059,230.318552999951,124.946839946588,252.371656753953
"91.03125",195.135654914676,150.055053092213,240.21625673714,126.190824016771,264.080485812582
"91.04167",196.328794772666,148.332517947582,244.32507159775,122.924823759448,269.732765785883
"91.05208",196.68474747168,146.109495179521,247.259999763839,119.336573846271,274.032921097089
"91.06250",196.459759067421,143.541586478352,249.37793165649,115.528398058803,277.391120076039
"91.07292",196.479321906279,141.391003692533,251.567640120026,112.229009573399,280.72963423916
"91.08333",197.197716618573,140.070594932692,254.324838304454,109.829323449638,284.566109787507
"91.09375",197.603146863594,138.540529355933,256.665764371255,107.27466827562,287.931625451568
"91.10417",197.260509675598,136.346185821697,258.174833529499,104.100090613163,290.420928738034
"91.11458",190.436150846914,127.739960563687,253.132341130141,94.5506022456955,286.321699448133
"91.12500",191.10615233446,126.687713284719,255.524591384201,92.5866515415854,289.625653127334
"91.13542",187.384366747963,121.295620456154,253.473113039772,86.3103514700018,288.458382025924
"91.14583",190.717060449075,123.004044294403,258.430076603747,87.1589387816584,294.275182116492
"91.15625",190.87980446427,121.583907206174,260.175701722367,84.9008750526077,296.858733875933
"91.16667",190.652301746717,119.81116910753,261.493434385904,82.3101387547595,298.994464738675
"91.17708",213.896176227237,141.544376004869,286.247976449605,103.243646539743,324.548705914731
"91.18750",251.746308808511,177.915828517664,325.576789099359,138.832333107609,364.660284509413
"91.19792",266.781235442821,191.501861765283,342.060609120359,151.651368527159,381.911102358483
"91.20833",273.399325314299,196.698938999261,350.099711629338,156.096207110155,390.702443518443
"91.21875",289.818424656403,211.723234077388,367.913615235418,170.382137412186,409.25471190062
"91.22917",288.929325687358,209.464055229812,368.394596144904,167.397682087564,410.460969287153
"91.23958",288.186314409416,207.374359079743,368.99826973909,164.595094028743,411.77753479009
"91.25000",289.207190499597,207.070744865264,371.34363613393,163.590336999821,414.824043999373
"91.26042",289.053746155183,205.613913456049,372.493578854318,161.443534156531,416.663958153835
"91.27083",263.725623501023,179.002509189241,348.448737812805,134.152801639113,393.298445362933
"91.28125",265.277835985514,179.290628837997,351.265043133031,133.771750962162,396.783921008867
"91.29167",265.748465065434,178.515508222565,352.981421908303,132.337170292988,399.15975983788
