,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
24.20833,219.0345172,202.3638483,235.705186,193.5389293,244.530105
24.22917,213.4544655,189.925722,236.9832089,177.4703576,249.4385733
24.25,212.2128731,183.9647364,240.4610099,169.0110761,255.4146702
24.27083,214.3474342,183.2612924,245.4335761,166.8052829,261.8895855
24.29167,216.9314607,183.9953094,249.867612,166.5599641,267.3029573
24.3125,223.4656382,188.6241495,258.307127,170.1801794,276.751097
24.33333,227.2731081,190.4747833,264.0714328,170.9949269,283.5512892
24.35417,229.1336027,190.3302592,267.9369462,169.7890099,288.4781955
24.375,231.9365018,191.0828408,272.7901627,169.4562191,294.4167844
24.39583,246.2723546,203.3255993,289.21911,180.5909603,311.953749
24.41667,260.9608801,215.8804698,306.0412903,192.0163422,329.905418
24.4375,292.2464592,244.9937929,339.4991254,219.9797424,364.5131759
24.45833,304.4268697,254.9650881,353.8886514,228.7816025,380.0721369
24.47917,311.2826441,259.5764445,362.9888436,232.2048358,390.3604523
24.5,313.4285251,259.4440045,367.4130458,230.8663255,395.9907248
24.52083,315.4900037,259.1945231,371.7854843,229.3934958,401.5865116
24.54167,318.6143595,259.9764285,377.2522904,228.9353829,408.293336
24.5625,326.3581197,265.3472961,387.3689432,233.0501171,419.6661223
24.58333,332.8582574,269.4450602,396.2714547,235.8761413,429.8403736
24.60417,333.4386873,267.5945207,399.2828538,232.7387244,434.1386501
24.625,334.7904709,266.4875585,403.0933834,230.3301808,439.2507611
24.64583,338.3400181,267.5513441,409.1286922,230.0780837,446.6019526
24.66667,343.2245611,269.9238191,416.5253032,231.1207501,455.3283721
24.6875,338.2688989,262.4304461,414.1073516,222.2839942,454.2538035
24.70833,351.5583336,273.1571504,429.9595167,231.6540711,471.4625961
24.72917,351.8423475,270.8540012,432.8306938,227.9813604,475.7033345
24.75,353.796012,270.196624,437.3953999,225.9417812,481.6502427
24.77083,355.3862465,269.1524633,441.6200297,223.5030559,487.2694371
24.79167,355.6972341,266.8062006,444.5882677,219.7501299,491.6443384
24.8125,358.3758016,266.8051372,449.946466,218.3305556,498.4210476
24.83333,360.9045238,266.6323008,455.1767469,216.7276004,505.0814473
24.85417,364.4189137,267.4236368,461.4141906,216.0774389,512.7603886
24.875,370.1085492,270.369138,469.8479604,217.5702831,522.6468153
24.89583,380.8591803,278.3549521,483.3634085,224.0924914,537.6258691
24.91667,391.8329427,286.5435972,497.1222882,230.8067844,552.8591009
24.9375,392.1861495,284.0917545,500.2805444,226.8700384,557.5022606
24.95833,431.5589121,320.6398906,542.4779335,261.9229075,601.1949166
24.97917,447.7060809,333.9431987,561.468963,273.7207667,621.6913951
25,444.2190555,327.5934098,560.8447012,265.8555223,622.5825887
25.02083,427.9503015,308.4433103,547.4572926,245.1801306,610.7204723
25.04167,412.3112748,289.9046672,534.7178824,225.1065233,599.5160263
25.0625,397.8523436,272.5281503,523.1765368,206.1855299,589.5191573
25.08333,359.8640461,231.6045909,488.1235013,163.7081366,556.0199555
25.10417,328.5468564,197.3347484,459.7589643,127.8752542,529.2184585
25.125,297.8472033,163.6604363,432.0339704,92.62625262,503.0681541
25.14583,280.4829745,143.3021391,417.6638098,70.68299145,490.2829575
25.16667,275.9259532,135.7374654,416.1144409,61.52616279,490.3257436
25.1875,272.5397822,129.3345681,415.7449962,53.52630701,491.5532573
25.20833,272.4775418,124.6373114,420.3177722,46.37542087,498.5796627
25.22917,269.583985,117.159532,422.008438,36.47090064,502.6970694
25.25,270.3114413,113.4313984,427.1914842,30.38412025,510.2387624
25.27083,273.6428063,112.5735785,434.7120341,27.3086798,519.9769329
25.29167,277.2436732,112.1796781,442.3076684,24.80007724,529.6872692
25.3125,284.7922217,115.7024302,453.8820132,26.19170146,543.3927419
25.33333,289.6115991,116.4657385,462.7574596,24.80785656,554.4153416
25.35417,292.4815439,115.2500582,469.7130296,21.42937692,563.5337108
25.375,296.2914416,114.9454546,477.6374286,18.94668791,573.6361953
25.39583,311.6318476,126.1431294,497.1205659,27.95133323,595.3123621
25.41667,327.3224867,137.6634224,516.9815511,37.26397838,617.3809951
25.4375,359.6077458,165.7513069,553.4641846,63.12990708,656.0855845
25.45833,372.7854086,174.7051266,570.8656905,69.84775934,675.7230578
25.47917,380.6360133,178.3059549,582.9660717,71.19889188,690.0731348
25.5,383.7743089,177.1690531,590.3795647,67.7988372,699.7497806
25.52083,386.8257918,175.9204088,597.7311749,64.27384308,709.3777406
25.54167,390.9377477,175.7077791,606.1677163,61.77191609,720.1035794
25.5625,399.6667097,180.0881502,619.2452692,63.8502822,735.4831371
25.58333,407.1496566,183.1989369,631.1003764,64.64658704,749.6527262
25.60417,408.7105089,180.3644793,637.0565384,59.48539302,757.9356247
25.625,411.040334,178.27625,643.804418,55.05838695,767.0222811
25.64583,415.5655475,178.3610552,652.7700397,52.79258207,778.3385129
25.66667,421.4233873,179.7565107,663.090264,51.82579396,791.0209807
25.6875,417.4386583,171.2877865,663.5895301,40.98338606,793.8939305
25.70833,431.6966683,181.0405442,682.3527924,48.35120722,815.0421294
25.72917,432.9469053,177.7646144,688.1291962,42.67926953,823.2145411
25.75,435.8644464,176.1354068,695.593486,38.64315847,833.0857343
25.77083,438.4162168,174.1201691,702.7122645,34.21029272,842.6221409
25.79167,439.6864052,170.8034034,708.5694069,28.46534033,850.90747
25.8125,443.3218439,169.8322471,716.8114408,25.05559987,861.588088
25.83333,446.8051137,168.6895772,724.9206503,21.46410543,872.1461221
25.85417,451.271733,168.511201,734.0322651,18.82681702,883.7166491
25.875,457.9112855,170.4869832,745.3355877,18.33374847,897.4888225
25.89583,469.6095266,177.5029538,761.7160994,22.87107478,916.3479784
25.91667,481.5285978,184.7215217,778.3356739,27.60134649,935.455849
25.9375,482.8248176,181.2992666,784.3503687,21.6812817,943.9683536
25.95833,523.1383032,216.8765608,829.4000457,54.75138756,991.5252189
25.97917,540.2239105,229.2085094,851.2393115,64.56690132,1015.88092
26,537.6730445,221.8867614,853.4593276,54.71960094,1020.626488
26.02083,522.3381764,201.7640263,842.9123265,32.06232221,1012.614031
26.04167,507.6307677,182.2519992,833.0095362,10.00688373,1005.254652
26.0625,494.1011921,163.9012823,824.3011019,-10.89599125,999.0983754
26.08333,457.0399932,122.0026432,792.0773432,-55.35541648,969.4354029
26.10417,426.6476506,86.75678174,766.5385195,-93.17057565,946.4658769
26.125,396.8705987,52.10956496,741.6316325,-130.395902,924.1370995
26.14583,380.4267305,30.78092154,730.0725394,-154.3103892,915.1638501
26.16667,376.7878347,22.24528814,731.3303812,-165.4381989,919.0138683
26.1875,374.3175595,14.86915841,733.7659606,-175.4113312,924.0464502
26.20833,375.1689907,9.53048112,740.8075003,-184.0268539,934.3648354
26.22917,373.1868867,1.376923233,744.9968501,-195.4473821,941.8211555
26.25,374.8235822,-3.078918233,752.7260826,-203.1284179,952.7755823
26.27083,379.0619784,-4.744928409,762.8688852,-207.920032,966.0439887
26.29167,383.5676737,-6.003401214,773.1387486,-212.2298711,979.3652184
26.3125,392.0188532,-3.348179054,787.3858854,-212.6428434,996.6805498
26.33333,397.7386696,-3.455477095,798.9328162,-215.8348295,1011.312169
26.35417,401.5068666,-5.544940457,808.5586737,-221.025151,1024.038884
26.375,406.2128352,-6.726587454,819.1522579,-225.3235134,1037.749184
26.39583,422.447136,3.590714269,841.3035578,-218.1384818,1063.032754
26.41667,439.029499,14.22724807,863.83175,-210.6494798,1088.708478
26.4375,472.2043164,41.42794199,902.9806909,-186.6112958,1131.019929
26.45833,486.2693773,49.49110429,923.0476503,-181.7253467,1154.264101
