"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"90.97917",1673.70419864324,1628.26470695119,1719.14369033528,1604.21049305491,1743.19790423156
"90.98958",1602.50489387227,1544.33939846609,1660.67038927844,1513.54844513929,1691.46134260524
"91.00000",1588.35773883729,1517.04675278626,1659.66872488831,1479.29699706163,1697.41848061294
"91.01042",1569.91463852048,1485.82975597219,1653.99952106878,1441.3179079091,1698.51136913187
"91.02083",1554.1994834666,1458.18801004037,1650.21095689282,1407.36260613965,1701.03636079354
"91.03125",1533.85418676034,1427.97455183779,1639.73382168289,1371.92525879226,1695.78311472841
"91.04167",1515.45290142218,1401.00080543845,1629.90499740591,1340.41352562625,1690.49227721811
"91.05208",1500.36296644903,1378.22135281033,1622.50458008773,1313.56348823707,1687.16244466099
"91.06250",1487.79581177865,1358.60258678689,1616.98903677041,1290.21182465065,1685.37979890665
"91.07292",1480.07116857695,1344.30925785791,1615.83307929599,1272.44124354261,1687.70109361129
"91.08333",1469.76704833952,1327.81650935802,1611.71758732102,1252.67243313256,1686.86166354649
"91.09375",1451.72063307793,1303.89047140049,1599.55079475536,1225.63391093079,1677.80735522506
"91.10417",1442.29469369502,1288.84310406213,1595.74628332792,1207.61073938759,1676.97864800246
"91.11458",1453.01696979918,1294.16465387937,1611.869285719,1210.07331740599,1695.96062219237
"91.12500",1453.99949039602,1289.93867786638,1618.06030292567,1203.09012983835,1704.90885095369
"91.13542",1445.17325843888,1276.07398057283,1614.27253630493,1186.55823010926,1703.7882867685
"91.14583",1470.96857176244,1296.9831330602,1644.95401046467,1204.8808052933,1737.05633823157
"91.15625",1519.80139397334,1341.06763514348,1698.5351528032,1246.45169853667,1793.15108941
"91.16667",1588.99309914755,1405.63683244497,1772.34936585012,1308.57388798295,1869.41231031214
"91.17708",1665.48272686812,1477.61959341289,1853.34586032334,1378.17085780679,1952.79459592944
"91.18750",1740.02604804128,1547.7629636417,1932.28913244086,1445.98503470162,2034.06706138093
"91.19792",1891.27174361005,1694.7080460606,2087.8354411595,1590.65351003844,2191.88997718166
"91.20833",2011.54301212625,1810.77138786852,2212.31463638397,1704.48931000266,2318.59671424983
"91.21875",2075.86004240673,1870.96728711333,2280.75279770013,1762.5036142574,2389.21647055607
"91.22917",2084.19192936853,1875.2595812782,2293.12427745886,1764.65747716846,2403.7263815686
"91.23958",2070.23782773407,1857.34270181325,2283.13295365488,1744.64282983665,2395.83282563148
"91.25000",1997.70441330777,1780.91905686424,2214.48976975131,1666.15982124569,2329.24900536985
"91.26042",1902.32976600659,1681.72285115013,2122.93668086305,1564.94060470864,2239.71892730453
"91.27083",1796.23764382047,1571.87430844293,2020.60097919801,1453.10353309556,2139.37175454538
"91.28125",1766.10871941157,1538.05086567178,1994.16657315136,1417.32433044198,2114.89310838116
"91.29167",1761.63330015213,1529.93985748526,1993.32674281899,1407.28875773165,2115.9778425726
"91.30208",1784.30764886364,1549.03480707532,2019.58049065197,1424.48888788421,2144.12640984308
"91.31250",1803.72854936304,1564.92996627014,2042.52713245593,1438.51763237401,2168.93946635207
"91.32292",1869.00105115089,1626.72803839326,2111.27406390853,1498.47645253344,2239.52564976834
"91.33333",1941.12136019737,1695.42305019592,2186.81967019881,1565.35822150498,2316.88449888976
"91.34375",1991.91907589513,1742.8425724247,2240.99557936556,1610.98943613479,2372.84871565547
"91.35417",2048.19345945837,1795.78397390039,2300.60294501634,1662.16646347114,2434.2204554456
"91.36458",2083.29195085341,1827.59292587106,2338.99097583576,1692.23403845919,2474.34986324763
"91.37500",2076.80496775107,1817.85818986732,2335.75174563482,1680.7800459219,2472.82988958024
"91.38542",2092.98563199395,1830.83133433901,2355.13992964889,1692.05523199266,2493.91603199524
"91.39583",2095.88384447394,1830.56080079143,2361.20688815645,1690.10726562416,2501.66042332371
"91.40625",2105.04064211678,1836.58625297083,2373.49503126272,1694.47508364534,2515.60620058821
"91.41667",2128.40641387147,1856.85678587336,2399.95604186957,1713.1070960751,2543.70573166783
"91.42708",2139.69625570298,1865.08627447182,2414.30623693414,1719.71653153201,2559.67597987394
"91.43750",2183.86803058726,1906.23142807062,2461.5046331039,1759.25948860367,2608.47657257085
"91.44792",2190.80519850778,1910.17461521271,2471.43578180284,1761.61775805932,2619.99263895623
"91.45833",2202.44748245318,1918.85452507332,2486.04043983305,1768.72948180642,2636.16548309995
"91.46875",2210.16884441569,1923.64413928412,2496.69354954726,1771.96712250512,2648.37056632626
"91.47917",2215.53849738994,1926.1117401395,2504.96525464038,1772.89846976684,2658.17852501304
"91.48958",2197.76125037225,1905.46125214267,2490.06124860183,1750.72697987246,2644.79552087204
"91.50000",2183.8564883601,1888.71121885516,2479.00175786505,1732.47075095418,2635.24222576602
"91.51042",2172.02754135176,1874.06416901732,2469.99091368619,1716.33188759208,2627.72319511144
"91.52083",2154.55049134603,1853.79542091218,2455.30556177987,1694.58530378243,2614.51567890963
"91.53125",2121.62486134209,1818.10376894757,2425.14595373661,1657.42940824013,2585.82031444406
"91.54167",2105.47168033939,1799.20954643505,2411.73381424373,1637.08416600179,2573.85919467699
"91.55208",2115.33317333753,1806.35431354621,2424.31203312886,1642.79078530035,2587.87556137472
"91.56250",2128.60441133626,1816.93250542945,2440.27631724307,1651.94336468481,2605.26545798771
"91.57292",2160.22497833538,1845.88309747195,2474.56685919881,1679.48055736229,2640.96939930848
"91.58333",2194.42266033478,1877.4332926935,2511.41202797606,1709.62925774156,2679.216062928
"91.59375",2228.31844333437,1908.70351826005,2547.93336840869,1739.50959715974,2717.12728950899
"91.60417",2244.87360033409,1922.65451110633,2567.09268956184,1752.08202877581,2737.66517189236
"91.61458",2254.61102733389,1929.80865265791,2579.41340200987,1757.86866161607,2751.35339305171
"91.62500",2283.11753033375,1955.75225464392,2610.48280602358,1782.45554575849,2783.77951490902
"91.63542",2303.50376233367,1973.59549499295,2633.41202967438,1798.95260764405,2808.05491702329
"91.64583",2319.8424363336,1987.41062980481,2652.27424286239,1811.43186150422,2828.25301116298
"91.65625",2320.12954733356,1985.19321439218,2655.06588027493,1807.88862989529,2832.37046477183
"91.66667",2311.14153333353,1973.71926338618,2648.56380328088,1795.09870333042,2827.18436333664
"91.67708",2293.62417233351,1953.73414690085,2633.51419776617,1773.80723600186,2813.44110866515
"91.68750",2274.58679733349,1932.24680475185,2616.92678991514,1751.02295958608,2798.1506350809
"91.69792",2252.09903933349,1907.32648872514,2596.87158994183,1724.81492512525,2779.38315354172
"91.70833",2268.23275833348,1921.04469289176,2615.42082377519,1737.2544329793,2799.21108368765
"91.71875",2263.42373733347,1913.83684696524,2613.01062770171,1728.7767258432,2798.07074882375
"91.72917",2346.92148193347,1994.95211529837,2698.89084856856,1808.63078742442,2885.21217644251
"91.73958",2394.24644533347,2039.91062131664,2748.58226935029,1852.33656657633,2936.1563240906
"91.75000",2539.06843833347,2182.38185698528,2895.75501968165,1993.56338648324,3084.5734901837
"91.76042",2699.54265033346,2340.5207033079,3058.56459735902,2150.46596489356,3248.61933577336
"91.77083",2765.81570533347,2404.47348585421,3127.15792481272,2213.19046939757,3318.44094126937
"91.78125",2766.11806333346,2402.47037571485,3129.76575095208,2209.96691814652,3322.26920852041
"91.79167",2723.04035533346,2357.10172408154,3088.97898658539,2163.38551421057,3282.69519645636
"91.80208",2670.59474833347,2302.37942685063,3038.8100698163,2107.45800997249,3233.73148669444
"91.81250",2613.88209033346,2243.40406924871,2984.36011141822,2047.284851555,3180.47932911193
"91.82292",2554.99872833346,2182.27174347854,2927.72571318839,1984.96199627936,3125.03546038757
"91.83333",2523.17406133346,2148.21160138418,2898.13652128274,1949.7184651532,3096.62965751373
"91.84375",2459.20721933346,2082.022533134,2836.39190553293,1882.35302138566,3036.06141728127
"91.85417",2424.54671733347,2045.15282092031,2803.94061374662,1844.31382392811,3004.77961073882
"91.86458",2364.37012033347,1982.77980367471,2745.96043699222,1780.77809203879,2947.96214862814
"91.87500",2288.24439933347,1904.47023279812,2672.01856586881,1701.31246086987,2875.17633779706
"91.88542",2241.41514533347,1855.46948590449,2627.36080476244,1651.16219507555,2831.66809559138
"91.89583",2169.96290933347,1781.85790657747,2558.06791208947,1576.40752843989,2763.51829022704
"91.90625",2011.94331333347,1621.69091513916,2402.19571152777,1415.10377452319,2608.78285214374
"91.91667",1957.48453433347,1565.09649243033,2349.8725762366,1357.37881032577,2557.59025834116
"91.92708",1894.94134933347,1500.42922460123,2289.4534740657,1291.58712096812,2498.29557769881
"91.93750",1853.44185333347,1456.81702091256,2250.06668575438,1246.85651738651,2460.02718928042
"91.94792",1792.84816633347,1394.12182054593,2191.57451212101,1183.04884304307,2402.64748962386
"91.95833",1752.60947733347,1351.79263642324,2153.42631824369,1139.61301764959,2365.60593701734
"91.96875",1733.64446933346,1330.74798003451,2136.54095863242,1117.46746190418,2349.82147676275
"91.97917",1762.7301849767,1350.68989697382,2174.77047297958,1132.56894419825,2392.89142575516
"91.98958",1691.53088020573,1272.32194768903,2110.73981272244,1050.4061437375,2332.65561667396
"92.00000",1677.38372517075,1250.20350978632,2104.56394055519,1024.06796358003,2330.69948676148
"92.01042",1658.94062485395,1223.3004409676,2094.5808087403,992.686457958364,2325.19479174953
"92.02083",1643.22546980006,1198.93808128395,2087.51285831617,963.746544652885,2322.70439494724
"92.03125",1622.8801730938,1170.4371628312,2075.3231833564,930.928300837504,2314.8320453501
"92.04167",1604.47888775565,1144.24146013328,2064.71631537802,900.606482829142,2308.35129268215
"92.05208",1589.3889527825,1121.6317267047,2057.14617886029,874.016008556679,2304.76189700831
"92.06250",1576.82179811212,1101.76089855123,2051.88269767301,850.278849208718,2303.36474701552
"92.07292",1569.09715491042,1086.90854295925,2051.28576686159,831.653310598123,2306.54099922271
"92.08333",1558.79303467299,1069.62462896467,2047.96144038131,810.674516979357,2306.91155236662
"92.09375",1540.74661941139,1044.72639941299,2036.7668394098,782.149156040983,2299.3440827818
"92.10417",1531.32068002849,1028.56215444191,2034.07920561507,762.417867560379,2300.2234924966
"92.11458",1542.04295613265,1032.64888606805,2051.43702619724,762.991954122749,2321.09395814254
"92.12500",1543.02547672949,1027.09043385521,2058.96051960377,753.97092006325,2332.08003339573
"92.13542",1534.19924477235,1011.81138677645,2056.58710276825,735.275958998905,2333.12253054579
"92.14583",1559.9945580959,1031.23687537817,2088.75224081363,751.329466078939,2368.65965011286
"92.15625",1608.8273803068,1073.77858354351,2143.87617707009,790.540859637693,2427.11390097591
"92.16667",1678.01908548101,1136.75424793564,2219.28392302638,850.225950808329,2505.81222015369
"92.17708",1754.50871320158,1207.09974452101,2301.91768188216,917.318940839822,2591.69848556334
"92.18750",1829.05203437474,1275.56803776848,2382.53603098101,982.571308562845,2675.53276018664
"92.19792",1980.29772994352,1420.80527796416,2539.79018192287,1124.62786461465,2835.96759527238
"92.20833",2100.56899845971,1535.13235137021,2666.00564554921,1235.8082712052,2965.32972571422
"92.21875",2164.8860287402,1593.56731186967,2736.20474561073,1291.12945205183,3038.64260542857
"92.22917",2173.217915702,1596.07726705933,2750.35856434466,1290.55746272755,3055.87836867644
"92.23958",2159.26381406753,1576.35951000003,2742.16811813504,1267.78861078908,3050.73901734599
"92.25000",2086.73039964124,1498.11896395739,2675.34183532509,1186.52689176404,2986.93390751844
"92.26042",1991.35575234005,1397.09205270034,2585.61945197977,1082.50785270957,2900.20365197054
"92.27083",1885.26363015394,1285.40096442795,2485.12629587992,967.852850827631,2802.67440948024
"92.28125",1855.13470574504,1249.72488027361,2460.54453121646,929.240277683975,2781.0291338061
"92.29167",1850.65928648559,1239.75268766182,2461.56588530936,916.358269028184,2784.960303943
"92.30208",1873.33363519711,1256.97929541569,2489.68797497853,930.701016919914,2815.96625347431
"92.31250",1892.7545356965,1271.00019446538,2514.50887692763,941.863327876421,2843.64574351659
"92.32292",1958.02703748436,1330.9191983123,2585.13487665642,998.948361100659,2917.10571386806
"92.33333",2030.14734653083,1397.73133007553,2662.56336298613,1062.95051354819,2997.34417951347
"92.34375",2080.9450622286,1443.26505609659,2718.6250683606,1105.69765175949,3056.1924726977
"92.35417",2137.21944579184,1494.31855131274,2780.12034027093,1153.98737563152,3120.45151595215
"92.36458",2172.31793718687,1524.23821343298,2820.39766094077,1181.1655311356,3163.47034323815
"92.37500",2165.83095408454,1512.61345936768,2819.0484488014,1166.82100541152,3164.84090275755
"92.38542",2182.01161832742,1523.69644937438,2840.32678728046,1175.20544968445,3188.81778697039
"92.39583",2184.90983080741,1521.53615979084,2848.28350182397,1170.36735086273,3199.45231075208
"92.40625",2194.06662845024,1525.67273803241,2862.46051886808,1171.84638548338,3216.2868714171
"92.41667",2217.43240020493,1544.05571673527,2890.80908367459,1187.59163287794,3247.27316753193
"92.42708",2228.72224203645,1550.39936703025,2907.04511704264,1191.31692753641,3266.12755653648
"92.43750",2272.89401692072,1589.66075693448,2956.12727690696,1227.97891665017,3317.80911719128
"92.44792",2279.83118484124,1591.7225798501,2967.93978983238,1227.45988781769,3332.20248186479
"92.45833",2291.47346878665,1598.52381916047,2984.42311841284,1231.69843289895,3351.24850467435
"92.46875",2299.19483074916,1601.43772291582,2996.95193858249,1232.06742200614,3366.32223949217
"92.47917",2304.56448372341,1602.03281460106,3007.09615284575,1230.13501361974,3378.99395382707
"92.48958",2286.78723670572,1579.51323697918,2994.06123643226,1205.10499782013,3368.4694755913
"92.50000",2272.88247469357,1560.89773100464,2984.8672183825,1183.995774626,3361.76917476114
"92.51042",2261.05352768523,1544.38900380138,2977.71805156907,1165.00972143154,3357.09733393891
"92.52083",2243.5764776795,1522.26253470077,2964.89042065822,1140.42199853523,3346.73095682376
"92.53125",2210.65084767556,1484.7172633352,2936.58443201592,1100.43123675374,3320.87045859738
"92.54167",2194.49766667286,1463.97365378339,2925.02167956233,1077.25760111483,3311.73773223088
"92.55208",2204.359159671,1469.2733837638,2939.4449355782,1080.14247962384,3328.57583971816
"92.56250",2217.63039766973,1478.01099387295,2957.2498014665,1086.48013209876,3348.7806632407
"92.57292",2249.25096466885,1505.12555386541,2993.37637547229,1111.20935606917,3387.29257326853
"92.58333",2283.44864666825,1534.84435097295,3032.05294236355,1138.55717473497,3428.34011860153
"92.59375",2317.34442966784,1564.28788726011,3070.40097207557,1165.64383398077,3469.04502535491
"92.60417",2333.89958666755,1576.41696601384,3091.38220732127,1175.4298884425,3492.3692848926
"92.61458",2343.63701366736,1581.75402716513,3105.52000016958,1178.43753662282,3508.83649071189
"92.62500",2372.14351666722,1605.8854337405,3138.40159959394,1200.25290705225,3544.03412628219
"92.63542",2392.52974866713,1621.9214083415,3163.13808899276,1213.98599449319,3571.07350284107
"92.64583",2408.86842266707,1633.93424565056,3183.80259968357,1223.70887218413,3594.02797315
"92.65625",2409.15553366702,1629.91953396152,3188.39153337253,1217.41691312168,3600.89415421237
"92.66667",2400.167519667,1616.65331573335,3183.68172360064,1201.88595037802,3598.44908895597
"92.67708",2382.65015866697,1594.88098416564,3170.4193331683,1177.86117345176,3587.43914388219
"92.68750",2363.61278366696,1571.61149779476,3155.61406953916,1152.35134265013,3574.87422468379
"92.69792",2341.12502566695,1544.91412310914,3137.33592822476,1123.42553150085,3558.82451983305
